,year,title,genre,avg_vote,movie_rating,duration
8274,2009,Barking Water,Drama,5.7,okay,85
8275,2009,Funny People,"Comedy, Drama",6.3,good,146
8276,2007,Woo-ri-dong-ne,"Crime, Mystery, Thriller",6.2,good,112
8277,2009,Acid Factory,"Action, Crime, Mystery",5.0,okay,108
8278,2008,Mi guo,Drama,6.5,good,100
8279,2009,Reiki,"Action, Fantasy",4.5,okay,87
8280,2008,Respekt,Drama,4.2,okay,73
8281,2008,Six Reasons Why,"Sci-Fi, Western",2.7,bad,88
8282,2009,Lies & Illusions,"Action, Thriller",3.5,okay,93
8283,2008,O... Çocuklari,"Comedy, Drama",6.5,good,120
8284,2009,Yi ngoi,"Mystery, Thriller",6.6,good,89
8285,2009,Barah Aana,"Comedy, Crime, Drama",6.8,good,97
8286,2009,Crónicas chilangas,Comedy,6.6,good,100
8287,2009,Flugten,"Drama, Thriller",6.0,good,114
8288,2008,Platon,Drama,5.3,okay,90
8289,2008,Target Practice,"Action, Adventure",5.2,okay,97
8290,2008,Un été sans point ni coup sûr,"Drama, Sport",6.8,good,104
