,date,city,price
599,1989-03-01,CA-Los Angeles,90.34
600,1989-03-01,CA-San Diego,73.92
601,1989-03-01,CA-San Francisco,64.64
602,1989-03-01,CO-Denver,47.33
603,1989-03-01,DC-Washington,88.14
604,1989-03-01,FL-Miami,77.0
605,1989-03-01,FL-Tampa,81.57
606,1989-03-01,GA-Atlanta,
607,1989-03-01,IL-Chicago,69.93
608,1989-03-01,MA-Boston,74.48
609,1989-03-01,MI-Detroit,
610,1989-03-01,MN-Minneapolis,62.43
611,1989-03-01,NC-Charlotte,70.52
612,1989-03-01,NV-Las Vegas,69.97
613,1989-03-01,NY-New York,83.27
614,1989-03-01,OH-Cleveland,61.37
615,1989-03-01,OR-Portland,44.56
616,1989-03-01,TX-Dallas,
617,1989-03-01,WA-Seattle,
618,1989-03-01,Composite-10,79.12
619,1989-03-01,Composite-20,
620,1989-03-01,National-US,74.41
621,1989-04-01,AZ-Phoenix,67.65
622,1989-04-01,CA-Los Angeles,92.11
623,1989-04-01,CA-San Diego,75.45
624,1989-04-01,CA-San Francisco,66.27
625,1989-04-01,CO-Denver,47.33
626,1989-04-01,DC-Washington,88.99
627,1989-04-01,FL-Miami,77.32
628,1989-04-01,FL-Tampa,81.8
629,1989-04-01,GA-Atlanta,
630,1989-04-01,IL-Chicago,70.68
631,1989-04-01,MA-Boston,74.63
632,1989-04-01,MI-Detroit,
633,1989-04-01,MN-Minneapolis,63.03
634,1989-04-01,NC-Charlotte,70.67
635,1989-04-01,NV-Las Vegas,69.61
636,1989-04-01,NY-New York,82.94
637,1989-04-01,OH-Cleveland,61.57
638,1989-04-01,OR-Portland,45.0
639,1989-04-01,TX-Dallas,
640,1989-04-01,WA-Seattle,
641,1989-04-01,Composite-10,79.83
642,1989-04-01,Composite-20,
643,1989-04-01,National-US,74.87
644,1989-05-01,AZ-Phoenix,67.9
645,1989-05-01,CA-Los Angeles,93.98
646,1989-05-01,CA-San Diego,76.83
647,1989-05-01,CA-San Francisco,67.77
648,1989-05-01,CO-Denver,47.49
649,1989-05-01,DC-Washington,89.62
650,1989-05-01,FL-Miami,77.19
651,1989-05-01,FL-Tampa,82.34
652,1989-05-01,GA-Atlanta,
653,1989-05-01,IL-Chicago,70.48
654,1989-05-01,MA-Boston,74.73
655,1989-05-01,MI-Detroit,
656,1989-05-01,MN-Minneapolis,63.31
657,1989-05-01,NC-Charlotte,71.13
658,1989-05-01,NV-Las Vegas,69.64
659,1989-05-01,NY-New York,82.97
660,1989-05-01,OH-Cleveland,62.63
661,1989-05-01,OR-Portland,45.44
662,1989-05-01,TX-Dallas,
663,1989-05-01,WA-Seattle,
664,1989-05-01,Composite-10,80.52
665,1989-05-01,Composite-20,
666,1989-05-01,National-US,75.3
667,1989-06-01,AZ-Phoenix,67.66
668,1989-06-01,CA-Los Angeles,95.55
669,1989-06-01,CA-San Diego,78.31
670,1989-06-01,CA-San Francisco,69.26
671,1989-06-01,CO-Denver,47.73
672,1989-06-01,DC-Washington,90.48
673,1989-06-01,FL-Miami,77.68
674,1989-06-01,FL-Tampa,82.06
675,1989-06-01,GA-Atlanta,
676,1989-06-01,IL-Chicago,70.91
677,1989-06-01,MA-Boston,74.63
678,1989-06-01,MI-Detroit,
679,1989-06-01,MN-Minneapolis,63.89
680,1989-06-01,NC-Charlotte,71.52
681,1989-06-01,NV-Las Vegas,71.19
682,1989-06-01,NY-New York,82.95
683,1989-06-01,OH-Cleveland,63.13
684,1989-06-01,OR-Portland,46.1
685,1989-06-01,TX-Dallas,
686,1989-06-01,WA-Seattle,
687,1989-06-01,Composite-10,81.24
688,1989-06-01,Composite-20,
689,1989-06-01,National-US,75.7
690,1989-07-01,AZ-Phoenix,67.56
691,1989-07-01,CA-Los Angeles,96.71
692,1989-07-01,CA-San Diego,79.36
693,1989-07-01,CA-San Francisco,70.27
694,1989-07-01,CO-Denver,47.64
695,1989-07-01,DC-Washington,91.26
696,1989-07-01,FL-Miami,78.05
